P(democrat|C),P(other|C),P(republican|C),P(non_voter|C)
0.1146270341454237,0.0027278713197253,0.3274009970839996,0.2782240617063274
0.110278683209038,0.0043005614621908,0.3485445785051567,0.3037925718608996
0.2056752951370085,0.0024188598866385,0.2117765984331564,0.3552113794721802
0.1016806722689075,0.0036709420610349,0.2769570986289252,0.3833701901813323
0.0621251675721442,0.0062795456149015,0.3596450998377196,0.3241550836096774
0.3672068113155726,0.001190149226403,0.1273459672251213,0.2757484207635237
0.2004307250538406,0.0017229002153625,0.2625029911462072,0.2918880114859984
0.1394292738307625,0.0047802371339063,0.2761269835850071,0.3494011899375973
0.1966222273634286,0.0026027357644813,0.2332918823563434,0.3329477428497029
0.0897276264591439,0.0054863813229571,0.2839688715953307,0.4131517509727597
0.0852021057025579,0.0035017740775956,0.3237401730015538,0.3344774008023899
0.2576713202466161,0.0024803344908227,0.2992700729927007,0.2094819644249132
0.2252523328889735,0.0020948390782708,0.2843648828794515,0.2313083222243348
0.1253561253561253,0.0053418803418803,0.3549857549857549,0.291737891737888
0.0787964649531134,0.0072859744990892,0.3518855832152736,0.3222019834041657
0.1050487083497073,0.0026887836356491,0.3085689466173033,0.3420546443566529
0.1782132755390662,0.0073650956911435,0.2707085919994123,0.3207581824192742
0.2562397250037364,0.003287998804364,0.2593035420714392,0.2418920938574174
0.1981691368788143,0.0036617262423714,0.2831734960767219,0.3026155187445499
0.0861518825781748,0.002738778983195,0.3308870453095086,0.3532227185705132
0.1391441700172314,0.0024411257897759,0.3100947731188971,0.3098793796668553
0.0733540986477527,0.006817527926846,0.3614665816039329,0.3236261743035455
0.1059722501508143,0.003297808164086,0.279227830283531,0.3614317313492824
0.3173875550310897,0.0015431398357009,0.1542685971043434,0.25706894204148
0.0807847168679859,0.0057111853565207,0.2563893886176075,0.3969416602415796
0.1069027688345138,0.0030521571152607,0.3319639407598197,0.3164198325820951
0.1365406884935256,0.0029213601431729,0.2467364985787977,0.379171491735969
0.1296965387350335,0.0061979897372821,0.2939961178482886,0.3374685295869897
0.1141254578754578,0.0045787545787545,0.3367101648351648,0.3186240842490813
0.1105375521779307,0.005608131791097,0.2564445719019851,0.3810661823280084
0.0804039033947477,0.0039938208809012,0.3548095399570475,0.3343883048867758
0.4762830902215019,0.0022690437601296,0.0946515397082658,0.1733117233927579
0.3081395348837209,0.0019792182088075,0.1979218208807521,0.2326818406729311
0.175997200839748,0.0026242127361791,0.3256939584791229,0.2718101236295744
0.1234486867483262,0.0025851013339526,0.2954084157166082,0.3302668915166231
0.1193945978346383,0.0078110366013561,0.263795751695201,0.3794440490016078
0.2528816645151862,0.0037782838492827,0.2282208271427527,0.2778956694351723
0.109475683375161,0.002848809604558,0.3675642677881028,0.2919351556670929
0.145256206272749,0.0077047143697826,0.2622872212898585,0.3671999302543507
0.1508397838469402,0.0069811596319556,0.2709799912370381,0.3355630203008579
0.1592326494333753,0.0044218946744685,0.2387230575512925,0.3709428931190249
0.1213015493423563,0.0053043987076093,0.3001755412521942,0.3320655354008158
0.4644957804108772,0.0017048844940755,0.1542068024891313,0.1244565680675106
0.4355039402737453,0.00142863726439,0.0643347619705977,0.2825475828379153
0.1984554909000866,0.0056239940571994,0.2691748173826916,0.2859446576699234
0.2782682193839219,0.0013617580766341,0.2590157776108189,0.2035593538692676
